"addresses","lat","long"
"Kalevipoja põik, Tallinn",59.4381239,24.8300559
"Kalevipoja, Tallinn",59.4363254,24.8318215
"Kalju, Tallinn",59.4458294,24.7353191
"Kalmistu tee, Tallinn",59.3857723,24.7278789
"Kaluri, Tallinn",59.4590016,24.6660809
"Kangru, Tallinn",59.4527515,24.6890028
"Kappeli, Tallinn",59.4289426,24.7778456
"Kari, Tallinn",59.4466416,24.6935419
"Karsti tn., Tallinn",59.3947241,24.6410823
"Karsti, Tallinn",59.3947241,24.6410823
"Karu, Tallinn",59.4389037,24.767089
"Karukella tee, Tallinn",59.4620298,24.8800218
"Karukella, Tallinn",59.3507662,24.7757717
"Kase, Tallinn",59.4552148,24.8374195
"Kasvu, Tallinn",59.4313671,24.7155889
"Katleri, Tallinn",59.4491777,24.8505979
"Katusepapi, Tallinn",59.4265305,24.7872783
"Kauba, Tallinn",59.4167635,24.7454241
"Kaubamaja, Tallinn",59.4342263,24.7560175
"Kauge, Tallinn",59.3714773,24.7155575
"Kauna, Tallinn",59.4217539,24.7529965
"Kaupmehe, Tallinn",59.4305658,24.7536771
"Keemia, Tallinn",59.4249288,24.706699
"Kentmanni põik, Tallinn",59.4299921,24.7521978
"Kentmanni, Tallinn",59.4308641,24.751468
"Kesk-Ameerika, Tallinn",59.4270544,24.7338889
"Kesklinn, Tallinn",59.4268518,24.7595564
"Keskuse, Tallinn",59.4006367,24.6768799
"Ketraja, Tallinn",59.4501586,24.6942226
"Kibuvitsa, Tallinn",59.4295693,24.7172381
"Kihnu, Tallinn",59.4529937,24.8632024
"Kiili, Tallinn",59.4369608,24.7535746
"KIIRE, Tallinn",59.4230166,24.7349043
"Kiisa, Tallinn",59.4134552,24.7409372
"Kiive, Tallinn",59.4288925,24.8064679
"Kilbi, Tallinn",59.4581409,24.679578
"Killustiku, Tallinn",59.4277522,24.7966955
"Kirsi, Tallinn",59.4227985,24.7013422
"Kivila tn, Tallinn",59.4455795,24.8700462
"Kivila, Tallinn",59.4455795,24.8700462
"KIVILA, Tallinn",59.4455795,24.8700462
"Kivimurru, Tallinn",59.4271691,24.7889067
"Kodu, Tallinn",59.4224979,24.7527095
"Koidu , Tallinn",59.4274915,24.7313385
"KOIDU TN., Tallinn",59.4274915,24.7313385
"Koidu, Tallinn",59.4274915,24.7313385
"KOIDU, Tallinn",59.4274915,24.7313385
"Koidula , Tallinn",59.437493,24.784127
"Koidula, Tallinn",59.437493,24.784127
"Kolde pst, Tallinn",59.4410551,24.7015009
"Kolde pst., Tallinn",59.4410551,24.7015009
"Kolde, Tallinn",59.4324219,24.5241262
"Kollane, Tallinn",59.4343134,24.7743771
"Komeedi, Tallinn",59.4273618,24.7304431
"KOOLI tänav, Tallinn",59.4404354,24.7432774
"Koorti, Tallinn",59.4410093,24.8311788
"Kopli tn, Tallinn",59.4546202,24.6933625
"Kopli, Tallinn",59.4595618,24.6735076
"Kopliranna, Tallinn",59.4517372,24.6771164
"Kosemetsa, Tallinn",59.4602082,24.8452523
"Koskla, Tallinn",59.4264003,24.717249
"Kotka, Tallinn",59.4177045,24.7311452
"Kotkapoja, Tallinn",59.4246401,24.7269269
"Kotzebue, Tallinn",59.4429602,24.7382238
"KOTZEBUE, Tallinn",59.4429602,24.7382238
"Kreutzwaldi, Tallinn",59.4350502,24.7688009
"Kristiina, Tallinn",59.4246526,24.7367063
"Kuklase, Tallinn",59.4079523,24.6993946
"Kuldnoka, Tallinn",59.4202294,24.70196
"Kullerkupu, Tallinn",59.4295486,24.7140611
"Kunderi, Tallinn",59.4324889,24.7714268
"Kungla, Tallinn",59.4463762,24.7279286
"Kuristiku, Tallinn",59.4522365,24.8696479
"Kuuse, Tallinn",59.3867994,24.6816708
"Kõlviku tee, Tallinn",59.4829158,24.8798598
"Kõrgepinge, Tallinn",59.4260384,24.6816253
"Kärberi , Tallinn",59.4463322,24.8858262
"Kärberi tn, Tallinn",59.4463322,24.8858262
"Kärberi, Tallinn",59.4463322,24.8858262
"KÄRBERI, Tallinn",59.4463322,24.8858262
"Kärneri, Tallinn",59.4284663,24.652296
"Köie, Tallinn",59.4485256,24.7373525
"Köleri, Tallinn",59.437537,24.7784637
"Külvi, Tallinn",59.3563836,24.6339262
"L.Koidula, Tallinn",59.437493,24.784127
"Laevastiku, Tallinn",59.4588352,24.6976401
"Lai tn, Tallinn",59.4403962,24.7459649
"Lai, Tallinn",59.4403962,24.7459649
"Lasnamäe tn, Tallinn",59.433,24.8611999
"Lasnamäe, Tallinn",59.433,24.8611999
"Lastekodu, Tallinn",59.429502,24.7706465
"Laulupeo, Tallinn",59.431451,24.7747876
"Lauteri, Tallinn",59.4316156,24.7569612
"Lehe, Tallinn",59.4190273,24.7149746
"Lehiku tee, Tallinn",59.4862636,24.8518512
"Lembitu, Tallinn",59.431181,24.7548812
"Liikuri , Tallinn",59.4429276,24.8273883
"Liikuri, Tallinn",59.4429276,24.8273883
"Liivalaia, Tallinn",59.4290137,24.7540775
"Liivamäe, Tallinn",59.4295162,24.7639308
"LIIVAMÄE, Tallinn",59.4295162,24.7639308
"Liivaoja tn, Tallinn",59.4406419,24.7836287
"Liivaoja, Tallinn",59.4406419,24.7836287
"Lille, Tallinn",59.4296076,24.7116917
"Linnamäe tee, Tallinn",59.4498549,24.8751138
"LINNAMÄE TEE, Tallinn",59.4498549,24.8751138
"Linnamäe, Tallinn",59.4498549,24.8751138
"Linnu tee, Tallinn",59.4124846,24.7094755
"Loitsu, Tallinn",59.4420244,24.8403108
"Loo, Tallinn",59.4302768,24.714745
"Lootsi, Tallinn",59.4417528,24.7643793
"Lossi, Tallinn",59.3920792,24.6586191
"Lubja tn, Tallinn",59.428674,24.7811078
"Lubja, Tallinn",59.428674,24.7811078
"Luha, Tallinn",59.4246526,24.7367063
"Luise, Tallinn",59.4301126,24.7313772
"Lõime, Tallinn",59.4516006,24.689404
"Läänemere tee, Tallinn",59.4522971,24.8761993
"LÄÄNEMERE TEE, Tallinn",59.4522971,24.8761993
"Läänemere, Tallinn",59.4522971,24.8761993
"Lükati tee, Tallinn",59.4636109,24.8667489
"Lüli, Tallinn",59.4069245,24.8119747
